IDText,Kelas
TXT0001,Ideologi
TXT0002,Politik
TXT0003,Ideologi
TXT0004,Politik
TXT0005,Politik
TXT0006,Politik
TXT0007,Politik
TXT0008,Politik
TXT0009,Politik
TXT0010,Ekonomi
TXT0011,Politik
TXT0012,Sosial Budaya
TXT0013,Politik
TXT0014,Politik
TXT0015,Sosial Budaya
TXT0016,Ideologi
TXT0017,Politik
TXT0018,Politik
TXT0019,Demografi
TXT0020,Sosial Budaya
TXT0021,Politik
TXT0022,Politik
TXT0023,Ekonomi
TXT0024,Geografi
TXT0025,Ekonomi
TXT0026,Demografi
TXT0027,Politik
TXT0028,Politik
TXT0029,Ideologi
TXT0030,Politik
TXT0031,Politik
TXT0032,Politik
TXT0033,Politik
TXT0034,Politik
TXT0035,Politik
TXT0036,Ideologi
TXT0037,Politik
TXT0038,Politik
TXT0039,Politik
TXT0040,Politik
TXT0041,Politik
TXT0042,Ekonomi
TXT0043,Politik
TXT0044,Ekonomi
TXT0045,Sosial Budaya
TXT0046,Ekonomi
TXT0047,Ekonomi
TXT0048,Politik
TXT0049,Politik
TXT0050,Politik
TXT0051,Politik
TXT0052,Ideologi
TXT0053,Politik
TXT0054,Politik
TXT0055,Politik
TXT0056,Politik
TXT0057,Politik
TXT0058,Politik
TXT0059,Politik
TXT0060,Politik
TXT0061,Politik
TXT0062,Pertahanan dan Keamanan
TXT0063,Politik
TXT0064,Politik
TXT0065,Politik
TXT0066,Politik
TXT0067,Sosial Budaya
TXT0068,Ideologi
TXT0069,Politik
TXT0070,Pertahanan dan Keamanan
TXT0071,Politik
TXT0072,Politik
TXT0073,Politik
TXT0074,Pertahanan dan Keamanan
TXT0075,Politik
TXT0076,Ekonomi
TXT0077,Politik
TXT0078,Ekonomi
TXT0079,Politik
TXT0080,Politik
TXT0081,Pertahanan dan Keamanan
TXT0082,Pertahanan dan Keamanan
TXT0083,Politik
TXT0084,Politik
TXT0085,Politik
TXT0086,Politik
TXT0087,Politik
TXT0088,Sosial Budaya
TXT0089,Ideologi
TXT0090,Pertahanan dan Keamanan
TXT0091,Politik
TXT0092,Politik
TXT0093,Sosial Budaya
TXT0094,Ideologi
TXT0095,Politik
TXT0096,Politik
TXT0097,Politik
TXT0098,Politik
TXT0099,Pertahanan dan Keamanan
TXT0100,Politik
TXT0101,Politik
TXT0102,Politik
TXT0103,Pertahanan dan Keamanan
TXT0104,Politik
TXT0105,Politik
TXT0106,Sosial Budaya
TXT0107,Politik
TXT0108,Politik
TXT0109,Ekonomi
TXT0110,Sumber Daya Alam
TXT0111,Politik
TXT0112,Politik
TXT0113,Politik
TXT0114,Politik
TXT0115,Politik
TXT0116,Politik
TXT0117,Ideologi
TXT0118,Sumber Daya Alam
TXT0119,Pertahanan dan Keamanan
TXT0120,Politik
TXT0121,Pertahanan dan Keamanan
TXT0122,Politik
TXT0123,Sosial Budaya
TXT0124,Politik
TXT0125,Sosial Budaya
TXT0126,Politik
TXT0127,Politik
TXT0128,Politik
TXT0129,Politik
TXT0130,Politik
TXT0131,Pertahanan dan Keamanan
TXT0132,Politik
TXT0133,Politik
TXT0134,Politik
TXT0135,Politik
TXT0136,Politik
TXT0137,Politik
TXT0138,Ekonomi
TXT0139,Politik
TXT0140,Politik
TXT0141,Ekonomi
TXT0142,Ekonomi
TXT0143,Politik
TXT0144,Politik
TXT0145,Politik
TXT0146,Pertahanan dan Keamanan
TXT0147,Ekonomi
TXT0148,Politik
TXT0149,Ekonomi
TXT0150,Politik
TXT0151,Politik
TXT0152,Pertahanan dan Keamanan
TXT0153,Sosial Budaya
TXT0154,Politik
TXT0155,Politik
TXT0156,Ekonomi
TXT0157,Politik
TXT0158,Ekonomi
TXT0159,Ekonomi
TXT0160,Politik
TXT0161,Politik
TXT0162,Politik
TXT0163,Politik
TXT0164,Politik
TXT0165,Sosial Budaya
TXT0166,Politik
TXT0167,Pertahanan dan Keamanan
TXT0168,Sumber Daya Alam
TXT0169,Politik
TXT0170,Politik
TXT0171,Politik
TXT0172,Politik
TXT0173,Pertahanan dan Keamanan
TXT0174,Politik
TXT0175,Politik
TXT0176,Politik
TXT0177,Politik
TXT0178,Politik
TXT0179,Politik
TXT0180,Politik
TXT0181,Politik
TXT0182,Ekonomi
TXT0183,Politik
TXT0184,Sumber Daya Alam
TXT0185,Politik
TXT0186,Pertahanan dan Keamanan
TXT0187,Politik
TXT0188,Pertahanan dan Keamanan
TXT0189,Sosial Budaya
TXT0190,Politik
TXT0191,Sosial Budaya
TXT0192,Pertahanan dan Keamanan
TXT0193,Politik
TXT0194,Politik
TXT0195,Politik
TXT0196,Politik
TXT0197,Politik
TXT0198,Politik
TXT0199,Politik
TXT0200,Politik
TXT0201,Politik
TXT0202,Sosial Budaya
TXT0203,Politik
TXT0204,Politik
TXT0205,Politik
TXT0206,Ekonomi
TXT0207,Ekonomi
TXT0208,Politik
TXT0209,Ideologi
TXT0210,Politik
TXT0211,Politik
TXT0212,Demografi
TXT0213,Sosial Budaya
TXT0214,Politik
TXT0215,Politik
TXT0216,Politik
TXT0217,Politik
TXT0218,Politik
TXT0219,Sosial Budaya
TXT0220,Pertahanan dan Keamanan
TXT0221,Politik
TXT0222,Politik
TXT0223,Ekonomi
TXT0224,Politik
TXT0225,Ideologi
TXT0226,Politik
TXT0227,Politik
TXT0228,Politik
TXT0229,Politik
TXT0230,Politik
TXT0231,Politik
TXT0232,Sosial Budaya
TXT0233,Politik
TXT0234,Politik
TXT0235,Politik
TXT0236,Politik
TXT0237,Politik
TXT0238,Pertahanan dan Keamanan
TXT0239,Sosial Budaya
TXT0240,Politik
TXT0241,Politik
TXT0242,Pertahanan dan Keamanan
TXT0243,Politik
TXT0244,Sosial Budaya
TXT0245,Pertahanan dan Keamanan
TXT0246,Politik
TXT0247,Politik
TXT0248,Ekonomi
TXT0249,Politik
TXT0250,Ekonomi
TXT0251,Sosial Budaya
TXT0252,Sosial Budaya
TXT0253,Ideologi
TXT0254,Politik
TXT0255,Politik
TXT0256,Politik
TXT0257,Politik
TXT0258,Sosial Budaya
TXT0259,Politik
TXT0260,Politik
TXT0261,Politik
TXT0262,Politik
TXT0263,Politik
TXT0264,Politik
TXT0265,Ekonomi
TXT0266,Politik
TXT0267,Ekonomi
TXT0268,Politik
TXT0269,Politik
TXT0270,Politik
TXT0271,Politik
TXT0272,Ekonomi
TXT0273,Politik
TXT0274,Ekonomi
TXT0275,Politik
TXT0276,Politik
TXT0277,Politik
TXT0278,Politik
TXT0279,Ekonomi
TXT0280,Politik
TXT0281,Sosial Budaya
TXT0282,Ekonomi
TXT0283,Politik
TXT0284,Politik
TXT0285,Politik
TXT0286,Politik
TXT0287,Politik
TXT0288,Sosial Budaya
TXT0289,Politik
TXT0290,Politik
TXT0291,Ideologi
TXT0292,Politik
TXT0293,Ideologi
TXT0294,Politik
TXT0295,Politik
TXT0296,Politik
TXT0297,Politik
TXT0298,Politik
TXT0299,Ekonomi
TXT0300,Politik
TXT0301,Politik
TXT0302,Ekonomi
TXT0303,Politik
TXT0304,Politik
TXT0305,Politik
TXT0306,Politik
TXT0307,Politik
TXT0308,Politik
TXT0309,Ekonomi
TXT0310,Politik
TXT0311,Ekonomi
TXT0312,Ekonomi
TXT0313,Ideologi
TXT0314,Ekonomi
TXT0315,Politik
TXT0316,Ekonomi
TXT0317,Sosial Budaya
TXT0318,Politik
TXT0319,Politik
TXT0320,Politik
TXT0321,Politik
TXT0322,Politik
TXT0323,Politik
TXT0324,Politik
TXT0325,Politik
TXT0326,Politik
TXT0327,Politik
TXT0328,Politik
TXT0329,Ekonomi
TXT0330,Politik
TXT0331,Pertahanan dan Keamanan
TXT0332,Ekonomi
TXT0333,Politik
TXT0334,Pertahanan dan Keamanan
TXT0335,Politik
TXT0336,Ekonomi
TXT0337,Politik
TXT0338,Politik
TXT0339,Politik
TXT0340,Politik
TXT0341,Sosial Budaya
TXT0342,Sumber Daya Alam
TXT0343,Politik
TXT0344,Ekonomi
TXT0345,Politik
TXT0346,Politik
TXT0347,Politik
TXT0348,Politik
TXT0349,Ekonomi
TXT0350,Ideologi
TXT0351,Politik
TXT0352,Sumber Daya Alam
TXT0353,Sosial Budaya
TXT0354,Politik
TXT0355,Politik
TXT0356,Politik
TXT0357,Pertahanan dan Keamanan
TXT0358,Politik
TXT0359,Politik
TXT0360,Politik
TXT0361,Politik
TXT0362,Politik
TXT0363,Politik
TXT0364,Politik
TXT0365,Ekonomi
TXT0366,Ideologi
TXT0367,Politik
TXT0368,Politik
TXT0369,Pertahanan dan Keamanan
TXT0370,Ideologi
TXT0371,Politik
TXT0372,Pertahanan dan Keamanan
TXT0373,Politik
TXT0374,Politik
TXT0375,Pertahanan dan Keamanan
TXT0376,Politik
TXT0377,Politik
TXT0378,Politik
TXT0379,Politik
TXT0380,Ideologi
TXT0381,Ekonomi
TXT0382,Ideologi
TXT0383,Ekonomi
TXT0384,Politik
TXT0385,Politik
TXT0386,Politik
TXT0387,Politik
TXT0388,Demografi
TXT0389,Politik
TXT0390,Politik
TXT0391,Politik
TXT0392,Politik
TXT0393,Politik
TXT0394,Ekonomi
TXT0395,Politik
TXT0396,Politik
TXT0397,Politik
TXT0398,Politik
TXT0399,Sumber Daya Alam
TXT0400,Politik
TXT0401,Politik
TXT0402,Politik
TXT0403,Politik
TXT0404,Politik
TXT0405,Politik
TXT0406,Politik
TXT0407,Ideologi
TXT0408,Politik
TXT0409,Politik
TXT0410,Sosial Budaya
TXT0411,Politik
TXT0412,Sosial Budaya
TXT0413,Politik
TXT0414,Politik
TXT0415,Politik
TXT0416,Politik
TXT0417,Politik
TXT0418,Politik
TXT0419,Politik
TXT0420,Politik
TXT0421,Politik
TXT0422,Sosial Budaya
TXT0423,Sosial Budaya
TXT0424,Politik
TXT0425,Demografi
TXT0426,Politik
TXT0427,Sosial Budaya
TXT0428,Politik
TXT0429,Politik
TXT0430,Politik
TXT0431,Politik
TXT0432,Ekonomi
TXT0433,Politik
TXT0434,Ekonomi
TXT0435,Politik
TXT0436,Politik
TXT0437,Politik
TXT0438,Politik
TXT0439,Politik
TXT0440,Politik
TXT0441,Sosial Budaya
TXT0442,Ekonomi
TXT0443,Politik
TXT0444,Sosial Budaya
TXT0445,Politik
TXT0446,Politik
TXT0447,Politik
TXT0448,Politik
TXT0449,Politik
TXT0450,Politik
TXT0451,Politik
TXT0452,Politik
TXT0453,Sumber Daya Alam
TXT0454,Politik
TXT0455,Politik
TXT0456,Politik
TXT0457,Politik
TXT0458,Pertahanan dan Keamanan
TXT0459,Ideologi
TXT0460,Ekonomi
TXT0461,Politik
TXT0462,Politik
TXT0463,Politik
TXT0464,Politik
TXT0465,Politik
TXT0466,Sosial Budaya
TXT0467,Ideologi
TXT0468,Politik
TXT0469,Politik
TXT0470,Politik
TXT0471,Politik
TXT0472,Sumber Daya Alam
TXT0473,Ideologi
TXT0474,Ideologi
TXT0475,Politik
TXT0476,Politik
TXT0477,Politik
TXT0478,Sosial Budaya
TXT0479,Politik
TXT0480,Ekonomi
TXT0481,Politik
TXT0482,Ideologi
TXT0483,Politik
TXT0484,Ideologi
TXT0485,Politik
TXT0486,Politik
TXT0487,Politik
TXT0488,Politik
TXT0489,Ekonomi
TXT0490,Politik
TXT0491,Politik
TXT0492,Ekonomi
TXT0493,Politik
TXT0494,Ekonomi
TXT0495,Demografi
TXT0496,Ekonomi
TXT0497,Ideologi
TXT0498,Ideologi
TXT0499,Ekonomi
TXT0500,Politik
TXT0501,Politik
TXT0502,Politik
TXT0503,Politik
TXT0504,Politik
TXT0505,Ekonomi
TXT0506,Politik
TXT0507,Ideologi
TXT0508,Ekonomi
TXT0509,Politik
TXT0510,Politik
TXT0511,Politik
TXT0512,Ekonomi
TXT0513,Politik
TXT0514,Sosial Budaya
TXT0515,Politik
TXT0516,Sosial Budaya
TXT0517,Politik
TXT0518,Ekonomi
TXT0519,Politik
TXT0520,Politik
TXT0521,Politik
TXT0522,Politik
TXT0523,Politik
TXT0524,Politik
TXT0525,Pertahanan dan Keamanan
TXT0526,Ekonomi
TXT0527,Politik
TXT0528,Politik
TXT0529,Politik
TXT0530,Politik
TXT0531,Politik
TXT0532,Ideologi
TXT0533,Pertahanan dan Keamanan
TXT0534,Sosial Budaya
TXT0535,Politik
TXT0536,Politik
TXT0537,Politik
TXT0538,Politik
TXT0539,Ideologi
TXT0540,Politik
TXT0541,Ideologi
TXT0542,Politik
TXT0543,Politik
TXT0544,Politik
TXT0545,Politik
TXT0546,Politik
TXT0547,Politik
TXT0548,Ekonomi
TXT0549,Ekonomi
TXT0550,Politik
TXT0551,Ekonomi
TXT0552,Politik
TXT0553,Politik
TXT0554,Politik
TXT0555,Politik
TXT0556,Ideologi
TXT0557,Pertahanan dan Keamanan
TXT0558,Politik
TXT0559,Politik
TXT0560,Pertahanan dan Keamanan
TXT0561,Politik
TXT0562,Pertahanan dan Keamanan
TXT0563,Politik
TXT0564,Ekonomi
TXT0565,Ekonomi
TXT0566,Ekonomi
TXT0567,Politik
TXT0568,Ekonomi
TXT0569,Politik
TXT0570,Politik
TXT0571,Politik
TXT0572,Politik
TXT0573,Politik
TXT0574,Politik
TXT0575,Pertahanan dan Keamanan
TXT0576,Ekonomi
TXT0577,Politik
TXT0578,Demografi
TXT0579,Politik
TXT0580,Sosial Budaya
TXT0581,Politik
TXT0582,Politik
TXT0583,Pertahanan dan Keamanan
TXT0584,Politik
TXT0585,Politik
TXT0586,Politik
TXT0587,Politik
TXT0588,Ekonomi
TXT0589,Ekonomi
TXT0590,Politik
TXT0591,Politik
TXT0592,Sosial Budaya
TXT0593,Demografi
TXT0594,Politik
TXT0595,Politik
TXT0596,Politik
TXT0597,Politik
TXT0598,Sosial Budaya
TXT0599,Demografi
TXT0600,Sosial Budaya
TXT0601,Politik
TXT0602,Politik
TXT0603,Politik
TXT0604,Politik
TXT0605,Politik
TXT0606,Politik
TXT0607,Pertahanan dan Keamanan
TXT0608,Politik
TXT0609,Politik
TXT0610,Ekonomi
TXT0611,Politik
TXT0612,Politik
TXT0613,Politik
TXT0614,Politik
TXT0615,Politik
TXT0616,Sosial Budaya
TXT0617,Politik
TXT0618,Pertahanan dan Keamanan
TXT0619,Demografi
TXT0620,Sosial Budaya
TXT0621,Politik
TXT0622,Politik
TXT0623,Politik
TXT0624,Politik
TXT0625,Politik
TXT0626,Sumber Daya Alam
TXT0627,Politik
TXT0628,Politik
TXT0629,Sumber Daya Alam
TXT0630,Pertahanan dan Keamanan
TXT0631,Politik
TXT0632,Pertahanan dan Keamanan
TXT0633,Politik
TXT0634,Politik
TXT0635,Politik
TXT0636,Politik
TXT0637,Politik
TXT0638,Politik
TXT0639,Politik
TXT0640,Politik
TXT0641,Ideologi
TXT0642,Politik
TXT0643,Ekonomi
TXT0644,Sosial Budaya
TXT0645,Politik
TXT0646,Politik
TXT0647,Politik
TXT0648,Politik
TXT0649,Politik
TXT0650,Politik
TXT0651,Ekonomi
TXT0652,Politik
TXT0653,Demografi
TXT0654,Politik
TXT0655,Sosial Budaya
TXT0656,Politik
TXT0657,Politik
TXT0658,Ideologi
TXT0659,Pertahanan dan Keamanan
TXT0660,Politik
TXT0661,Politik
TXT0662,Politik
TXT0663,Politik
TXT0664,Ekonomi
TXT0665,Politik
TXT0666,Politik
TXT0667,Demografi
TXT0668,Politik
TXT0669,Politik
TXT0670,Politik
TXT0671,Politik
TXT0672,Politik
TXT0673,Sosial Budaya
TXT0674,Politik
TXT0675,Ekonomi
TXT0676,Ekonomi
TXT0677,Politik
TXT0678,Pertahanan dan Keamanan
TXT0679,Ideologi
TXT0680,Pertahanan dan Keamanan
TXT0681,Politik
TXT0682,Politik
TXT0683,Demografi
TXT0684,Politik
TXT0685,Ekonomi
TXT0686,Politik
TXT0687,Politik
TXT0688,Politik
TXT0689,Sosial Budaya
TXT0690,Politik
TXT0691,Politik
TXT0692,Politik
TXT0693,Politik
TXT0694,Politik
TXT0695,Politik
TXT0696,Ideologi
TXT0697,Sumber Daya Alam
TXT0698,Ideologi
TXT0699,Politik
TXT0700,Politik
TXT0701,Politik
TXT0702,Politik
TXT0703,Ideologi
TXT0704,Politik
TXT0705,Geografi
TXT0706,Ekonomi
TXT0707,Politik
TXT0708,Politik
TXT0709,Sosial Budaya
TXT0710,Politik
TXT0711,Politik
TXT0712,Politik
TXT0713,Politik
TXT0714,Sosial Budaya
TXT0715,Politik
TXT0716,Sosial Budaya
TXT0717,Politik
TXT0718,Politik
TXT0719,Pertahanan dan Keamanan
TXT0720,Pertahanan dan Keamanan
TXT0721,Politik
TXT0722,Politik
TXT0723,Sosial Budaya
TXT0724,Politik
TXT0725,Politik
TXT0726,Politik
TXT0727,Ekonomi
TXT0728,Politik
TXT0729,Geografi
TXT0730,Politik
TXT0731,Pertahanan dan Keamanan
TXT0732,Pertahanan dan Keamanan
TXT0733,Politik
TXT0734,Ideologi
TXT0735,Politik
TXT0736,Geografi
TXT0737,Politik
TXT0738,Politik
TXT0739,Ideologi
TXT0740,Politik
TXT0741,Ekonomi
TXT0742,Politik
TXT0743,Politik
TXT0744,Ekonomi
TXT0745,Politik
TXT0746,Politik
TXT0747,Politik
TXT0748,Ideologi
TXT0749,Ideologi
TXT0750,Politik
TXT0751,Politik
TXT0752,Politik
TXT0753,Politik
TXT0754,Politik
TXT0755,Sumber Daya Alam
TXT0756,Politik
TXT0757,Politik
TXT0758,Politik
TXT0759,Politik
TXT0760,Pertahanan dan Keamanan
TXT0761,Politik
TXT0762,Ideologi
TXT0763,Politik
TXT0764,Ekonomi
TXT0765,Ideologi
TXT0766,Pertahanan dan Keamanan
TXT0767,Politik
TXT0768,Politik
TXT0769,Politik
TXT0770,Politik
TXT0771,Ekonomi
TXT0772,Ekonomi
TXT0773,Politik
TXT0774,Pertahanan dan Keamanan
TXT0775,Ekonomi
TXT0776,Politik
TXT0777,Politik
TXT0778,Politik
TXT0779,Politik
TXT0780,Ekonomi
TXT0781,Politik
TXT0782,Politik
TXT0783,Politik
TXT0784,Politik
TXT0785,Politik
TXT0786,Politik
TXT0787,Politik
TXT0788,Politik
TXT0789,Politik
TXT0790,Pertahanan dan Keamanan
TXT0791,Politik
TXT0792,Ideologi
TXT0793,Ekonomi
TXT0794,Ekonomi
TXT0795,Politik
TXT0796,Politik
TXT0797,Politik
TXT0798,Politik
TXT0799,Politik
TXT0800,Politik
TXT0801,Politik
TXT0802,Demografi
TXT0803,Politik
TXT0804,Politik
TXT0805,Politik
TXT0806,Politik
TXT0807,Politik
TXT0808,Politik
TXT0809,Sosial Budaya
TXT0810,Ekonomi
TXT0811,Politik
TXT0812,Ideologi
TXT0813,Politik
TXT0814,Ideologi
TXT0815,Politik
TXT0816,Sosial Budaya
TXT0817,Sumber Daya Alam
TXT0818,Politik
TXT0819,Politik
TXT0820,Ekonomi
TXT0821,Politik
TXT0822,Ekonomi
TXT0823,Ekonomi
TXT0824,Politik
TXT0825,Politik
TXT0826,Politik
TXT0827,Politik
TXT0828,Politik
TXT0829,Politik
TXT0830,Politik
TXT0831,Politik
TXT0832,Politik
TXT0833,Politik
TXT0834,Politik
TXT0835,Politik
TXT0836,Politik
TXT0837,Demografi
TXT0838,Ideologi
TXT0839,Sosial Budaya
TXT0840,Politik
TXT0841,Ekonomi
TXT0842,Politik
TXT0843,Politik
TXT0844,Politik
TXT0845,Politik
TXT0846,Politik
TXT0847,Politik
TXT0848,Politik
TXT0849,Ekonomi
TXT0850,Ideologi
TXT0851,Politik
TXT0852,Ideologi
TXT0853,Ekonomi
TXT0854,Politik
TXT0855,Politik
TXT0856,Ekonomi
TXT0857,Politik
TXT0858,Politik
TXT0859,Politik
TXT0860,Politik
TXT0861,Politik
TXT0862,Politik
TXT0863,Ekonomi
TXT0864,Pertahanan dan Keamanan
TXT0865,Politik
TXT0866,Politik
TXT0867,Politik
TXT0868,Politik
TXT0869,Politik
TXT0870,Ekonomi
TXT0871,Pertahanan dan Keamanan
TXT0872,Pertahanan dan Keamanan
TXT0873,Politik
TXT0874,Politik
TXT0875,Politik
TXT0876,Ideologi
TXT0877,Politik
TXT0878,Politik
TXT0879,Ekonomi
TXT0880,Sosial Budaya
TXT0881,Politik
TXT0882,Pertahanan dan Keamanan
TXT0883,Ideologi
TXT0884,Politik
TXT0885,Pertahanan dan Keamanan
TXT0886,Sosial Budaya
TXT0887,Sumber Daya Alam
TXT0888,Politik
TXT0889,Politik
TXT0890,Politik
TXT0891,Politik
TXT0892,Pertahanan dan Keamanan
TXT0893,Sumber Daya Alam
TXT0894,Politik
TXT0895,Politik
TXT0896,Sosial Budaya
TXT0897,Politik
TXT0898,Politik
TXT0899,Politik
TXT0900,Ekonomi
TXT0901,Politik
TXT0902,Politik
TXT0903,Politik
TXT0904,Politik
TXT0905,Politik
TXT0906,Politik
TXT0907,Pertahanan dan Keamanan
TXT0908,Politik
TXT0909,Ideologi
TXT0910,Politik
TXT0911,Politik
TXT0912,Politik
TXT0913,Ekonomi
TXT0914,Politik
TXT0915,Ekonomi
TXT0916,Pertahanan dan Keamanan
TXT0917,Politik
TXT0918,Pertahanan dan Keamanan
TXT0919,Politik
TXT0920,Politik
TXT0921,Politik
TXT0922,Ekonomi
TXT0923,Politik
TXT0924,Politik
TXT0925,Politik
TXT0926,Demografi
TXT0927,Demografi
TXT0928,Politik
TXT0929,Politik
TXT0930,Politik
TXT0931,Politik
TXT0932,Politik
TXT0933,Politik
TXT0934,Politik
TXT0935,Politik
TXT0936,Ekonomi
TXT0937,Politik
TXT0938,Politik
TXT0939,Politik
TXT0940,Politik
TXT0941,Politik
TXT0942,Politik
TXT0943,Politik
TXT0944,Politik
TXT0945,Ekonomi
TXT0946,Politik
TXT0947,Ekonomi
TXT0948,Politik
TXT0949,Ekonomi
TXT0950,Politik
TXT0951,Politik
TXT0952,Pertahanan dan Keamanan
TXT0953,Politik
TXT0954,Ideologi
TXT0955,Politik
TXT0956,Politik
TXT0957,Politik
TXT0958,Politik
TXT0959,Ideologi
TXT0960,Politik
TXT0961,Ideologi
TXT0962,Politik
TXT0963,Ekonomi
TXT0964,Politik
TXT0965,Politik
TXT0966,Politik
TXT0967,Pertahanan dan Keamanan
TXT0968,Politik
TXT0969,Sosial Budaya
TXT0970,Politik
TXT0971,Ideologi
TXT0972,Pertahanan dan Keamanan
TXT0973,Politik
TXT0974,Politik
TXT0975,Politik
TXT0976,Politik
TXT0977,Pertahanan dan Keamanan
TXT0978,Politik
TXT0979,Ideologi
TXT0980,Politik
TXT0981,Politik
TXT0982,Politik
TXT0983,Sosial Budaya
TXT0984,Politik
TXT0985,Politik
TXT0986,Ideologi
TXT0987,Pertahanan dan Keamanan
TXT0988,Sosial Budaya
TXT0989,Politik
TXT0990,Politik
TXT0991,Ideologi
TXT0992,Politik
TXT0993,Politik
TXT0994,Ideologi
TXT0995,Ideologi
TXT0996,Ekonomi
TXT0997,Politik
TXT0998,Ideologi
TXT0999,Politik
TXT1000,Politik
